"","Pstd","H","Hstd","volume","error","Int_diff_mean","Int_diff_sd","Int_diff_0.025quant","Int_diff_0.975quant","Int_err_mean","Int_err_sd","Int_err_0.025quant","Int_err_0.975quant"
"fitted.Predictor.01002",0,26,-2.09232391356034,NA,NA,103.093016854987,15.5500899855759,72.6130203206096,133.593582896746,-4.13423898135459,0.117538985106562,-4.36207111394144,-3.90100389844758
"fitted.Predictor.01003",0,26.5,-2.051574189738,NA,NA,102.532308617188,14.9625511603637,73.2047916797059,131.880907419472,-4.14466845387029,0.114068107845996,-4.36578569655723,-3.91833835750852
"fitted.Predictor.01004",0,27,-2.01082446591565,NA,NA,101.957293030404,14.3955440253393,73.7420042776201,130.194190439849,-4.15500284111502,0.110727779252486,-4.36966133849748,-3.93532345566051
"fitted.Predictor.01005",0,27.5,-1.97007474209331,NA,NA,101.367970091886,13.8493820268227,74.2240423928289,128.53404586189,-4.16524229261781,0.107518463178583,-4.37369875715108,-3.95195838201285
"fitted.Predictor.01006",0,28,-1.92932501827096,NA,NA,100.764339798608,13.3243868899118,74.6502739846229,126.901103829141,-4.17538698565109,0.104440481125252,-4.37789835189009,-3.96824262794187
"fitted.Predictor.01007",0,28.5,-1.88857529444862,NA,NA,100.146402147274,12.8208851095965,75.02005758986,125.296003867699,-4.18543712595906,0.101493985629003,-4.38226015873198,-3.98417603459212
"fitted.Predictor.01008",0,29,-1.84782557062627,NA,NA,99.5141571343262,12.3392033209231,75.3327084179361,123.719385837477,-4.19539294768448,0.0986789319381162,-4.38678380478631,-3.99975884139048
"fitted.Predictor.01009",0,29.5,-1.80707584680392,NA,NA,98.8676047559753,11.879662374096,75.5870434884635,122.171878350752,-4.20525471231579,0.0959950484247643,-4.39146846322033,-4.01498889864101
"fitted.Predictor.01010",0,30,-1.76632612298158,NA,NA,98.2067450082423,11.442569954396,75.7830732794385,120.654084343862,-4.21502270649525,0.093441806315935,-4.39631280946599,-4.02984221112264
"fitted.Predictor.01011",0,30.5,-1.72557639915923,NA,NA,97.5315778870252,11.028211620977,75.9202380024029,119.166563554278,-4.22469723854855,0.0910183895026209,-4.40131497936033,-4.04434727617425
"fitted.Predictor.01012",0,31,-1.68482667533689,NA,NA,96.8421033881868,10.6368401988592,75.9980421249649,117.709811772428,-4.23427863328694,0.0887236656255599,-4.40647252982196,-4.05850670236659
"fitted.Predictor.01013",0,31.5,-1.64407695151454,NA,NA,96.1383215076693,10.2686635500913,76.0160783718223,116.284236916151,-4.24376722685387,0.0865561580350069,-4.41178240310393,-4.07232373905399
"fitted.Predictor.01014",0,32,-1.6033272276922,NA,NA,95.4202322416329,9.92383087576092,75.974054608528,114.89013222081,-4.25316335923674,0.0845140217343317,-4.41725981297877,-4.08580230136893
"fitted.Predictor.01015",0,32.5,-1.56257750386985,NA,NA,94.6878355866138,9.60241785908808,75.871822996826,113.527647147581,-4.26246736524192,0.0825950239798029,-4.42289910700575,-4.09894698359835
"fitted.Predictor.01016",0,33,-1.52182778004751,NA,NA,93.9411315397011,9.30441114318643,75.7094104504798,112.196756971193,-4.27167956587187,0.0807965293650938,-4.4286770436933,-4.11176307273781
"fitted.Predictor.01017",0,33.5,-1.48107805622516,NA,NA,93.1801200987176,9.02969282974886,75.4870490418376,110.897232385691,-4.2808002590298,0.0791154916252815,-4.43458751172541,-4.12425655102933
"fitted.Predictor.01018",0,34,-1.44032833240282,NA,NA,92.4048012623986,8.77802586232037,75.2052046606711,109.628610815519,-4.28982971040288,0.0775484527296474,-4.44062369496357,-4.13643409047427
"fitted.Predictor.01019",0,34.5,-1.39957860858047,NA,NA,91.6151750305511,8.54904128913291,74.8646019704073,108.390171378749,-4.29876814502423,0.0760915499179251,-4.44677808295711,-4.14830303957197
"fitted.Predictor.01020",0,35,-1.35882888475812,NA,NA,90.8112414041866,8.34222845223719,74.4662436059764,107.18091555413,-4.30761574000278,0.0747405310279372,-4.45304249190744,-4.15987140247078
"fitted.Predictor.01021",0,35.5,-1.31807916093578,NA,NA,89.9930003856104,8.15692909320659,74.0114216713664,105.999555497308,-4.31637261859131,0.0734907790996259,-4.45940807071648,-4.1711473723425
"fitted.Predictor.01022",0,36,-1.27732943711343,NA,NA,89.1604519784636,7.99233618531116,73.5017199514752,104.844511602623,-4.32503884483253,0.0723373481179912,-4.46586551723677,-4.18213639918203
"fitted.Predictor.01023",0,36.5,-1.23657971329109,NA,NA,88.3135961877136,7.84749800221968,72.9390058443257,103.713920323112,-4.33361442854879,0.0712749832816058,-4.47240525653005,-4.19285155295108
"fitted.Predictor.01024",0,37,-1.19582998946874,NA,NA,87.4524330195913,7.72132754237109,72.3254117890226,102.605652497337,-4.34209931872504,0.070298187334128,-4.47901674158165,-4.20330340160885
"fitted.Predictor.01025",0,37.5,-1.1550802656464,NA,NA,86.5769624814842,7.61261699524313,71.6633068149311,101.517341583056,-4.35049340877238,0.0694012634423395,-4.48568902880927,-4.21350293151873
"fitted.Predictor.01026",0,38,-1.11433054182405,NA,NA,85.6871845817889,7.52005652247338,70.9552596476147,100.446420385002,-4.35879654116372,0.0685783692678039,-4.49241087399588,-4.22346145054076
"fitted.Predictor.01027",0,38.5,-1.07358081800171,NA,NA,84.7830993297361,7.44225629327184,70.2039954584113,99.3901642056427,-4.36700851364596,0.0678235732650856,-4.49917083530756,-4.23318411674869
"fitted.Predictor.01028",0,39,-1.03283109417936,NA,NA,83.8647067351978,7.37777050587894,69.4123487486892,98.3457379349088,-4.37512908662657,0.0671309117277166,-4.50595738063592,-4.24268397274862
"fitted.Predictor.01029",0,39.5,-0.992081370357016,NA,NA,82.9320068218198,7.32512209821422,68.5832085429463,97.3102400267136,-4.38315799129446,0.0664944451985801,-4.51275899638065,-4.25197943289519
"fitted.Predictor.01030",0,40,-0.951331646534671,NA,NA,81.9849996328543,7.28282685169966,67.7194693131452,96.2807451584079,-4.39109493803342,0.0659083130063431,-4.51956429486086,-4.26108185926336
"fitted.Predictor.01031",0,40.5,-0.910581922712325,NA,NA,81.023685135162,7.24941561089591,66.8240318984674,95.2543834969931,-4.3989396247185,0.0653667849037353,-4.52636211780773,-4.27000237958348
"fitted.Predictor.01032",0,41,-0.86983219888998,NA,NA,80.0480633389514,7.22345459266336,65.8997061681935,94.2283410446467,-4.40669174454441,0.0648643090242438,-4.53314163380942,-4.27875179183986
"fitted.Predictor.01033",0,41.5,-0.829082475067634,NA,NA,79.0581342541429,7.20356239127889,64.9491991360458,93.1999062893003,-4.41435099311249,0.0643955556338686,-4.53989242810809,-4.28734047614891
"fitted.Predictor.01034",0,42,-0.788332751245289,NA,NA,78.0538978902561,7.18842396443934,63.9750876021119,92.1664977286082,-4.42191707458901,0.0639554564064564,-4.54660458373115,-4.29577831495106
"fitted.Predictor.01035",0,42.5,-0.747583027422943,NA,NA,77.0353542563223,7.17680152919705,62.9797968479484,91.1256853188042,-4.42938970683444,0.0635392391788698,-4.5532687535141,-4.30407462199216
"fitted.Predictor.01036",0,43,-0.706833303600598,NA,NA,76.0025033608225,7.16754258520714,61.9655849553069,90.0752062722374,-4.43676862548112,0.0631424583632094,-4.55987622310195,-4.31223808006186
"fitted.Predictor.01037",0,43.5,-0.666083579778253,NA,NA,74.9553452116444,7.15958540778534,60.9345320754036,89.012975875352,-4.44405358700312,0.0627610213404759,-4.5664189654568,-4.32027668700403
"fitted.Predictor.01038",0,44,-0.625333855955907,NA,NA,73.8938798160594,7.15196242344254,59.8885338388286,87.9370941378959,-4.45124437087095,0.062391211284107,-4.57288968774133,-4.32819770917499
"fitted.Predictor.01039",0,44.5,-0.584584132133562,NA,NA,72.8181071807171,7.14380190587424,58.8292980478986,86.8458491352199,-4.4583407809168,0.0620297069793072,-4.5792818716833,-4.33600764128378
"fitted.Predictor.01040",0,45,-0.543834408311216,NA,NA,71.7280273116472,7.13432842234506,57.7583438091056,85.7377178893493,-4.4653426460538,0.0616736001949731,-4.58558980866074,-4.34371217140538
"fitted.Predictor.01041",0,45.5,-0.503084684488871,NA,NA,70.6236402142738,7.1228624304055,56.677002322809,84.6113655768741,-4.47224982049755,0.0613204112345355,-4.59180863079623,-4.35131614990729
"fitted.Predictor.01042",0,46,-0.462334960666525,NA,NA,69.5049458955515,7.10881938445064,55.5864186300408,83.4656437831588,-4.47906218363316,0.0609681032477214,-4.59793433932585,-4.35882356105015
"fitted.Predictor.01043",0,46.5,-0.42158523684418,NA,NA,68.3719443588077,7.09170865544025,54.487553706312,82.2995883463457,-4.48577963965925,0.0606150958561226,-4.60396383142357,-4.36623749609442
"fitted.Predictor.01044",0,47,-0.380835513021835,NA,NA,67.224635606676,7.07113254007753,53.3811863885897,81.1124174235908,-4.49240211712364,0.0602602785834253,-4.60989492653902,-4.37356012688292
"fitted.Predictor.01045",0,47.5,-0.340085789199489,NA,NA,66.0630196423242,7.04678557261724,52.2679147009015,79.9035301429098,-4.49892956844579,0.0599030245186744,-4.61572639313574,-4.3807926790175
"fitted.Predictor.01046",0,48,-0.299336065377144,NA,NA,64.8870964683938,7.01845432141857,51.1481562212461,78.6725061966252,-4.50536196950018,0.0595432045281526,-4.62145797651915,-4.38793540395235
"fitted.Predictor.01047",0,48.5,-0.258586341554798,NA,NA,63.6968660870034,6.98601782209481,50.022147198252,77.4191066941375,-4.51169931931183,0.0591812022363216,-4.6270904282094,-4.39498754956227
"fitted.Predictor.01048",0,49,-0.217836617732453,NA,NA,62.4923284997436,6.94944876633306,48.8899401828654,76.1432765035267,-4.51794163989167,0.0588179298550615,-4.63262553703859,-4.40194732900334
"fitted.Predictor.01049",0,49.5,-0.177086893910107,NA,NA,61.27348370766,6.90881553948765,47.7513999932278,74.8451482653885,-4.52408897621282,0.0584548447873677,-4.63806616183462,-4.40881188800468
"fitted.Predictor.01050",0,50,-0.136337170087762,NA,NA,60.040331711226,6.86428517310907,46.6061978841559,73.5250482102421,-4.53014139630174,0.0580939667503541,-4.6434162651852,-4.41557727110053
"fitted.Predictor.01051",0,50.5,-0.0955874462654165,NA,NA,58.7928725103012,6.81612724865184,45.4538038521132,72.1835038521677,-4.53609899138424,0.0577378949525775,-4.64868094733826,-4.42223838772775
"fitted.Predictor.01052",0,51,-0.054837722443071,NA,NA,57.5311061040759,6.76471875166365,44.2934770798655,70.8212535581287,-4.54196187599234,0.0573898246033461,-4.6538664788011,-4.42878897962272
"fitted.Predictor.01053",0,51.5,-0.0140879986207256,NA,NA,56.2550324910009,6.71054982751818,43.12425462129,69.4392578982865,-4.54773018789614,0.0570535617676355,-4.65898032962988,-4.43522159150402
