"","Pstd","H","Hstd","Diststd","meandVstd","Int_diff_mean","Int_err_mean","Int_diff_sd","Int_err_sd","Int_diff_0.025quant","Int_diff_0.975quant","Int_err_0.025quant","Int_err_0.975quant"
"1",0,20,-2.73184256698958,-1.45443434410704e-17,-4.0206860982315e-17,0.210473062573821,-1.59637144903663,0.0954065982949636,0.0954065982949636,0.0270279033526546,0.407312317278598,-1.77092281787803,-1.42574461421075
"2",0,20.5,-2.68525400987961,-1.45443434410704e-17,-4.0206860982315e-17,0.210798365223853,-1.59061582477619,0.0952786620206021,0.0952786620206021,0.0276562870453842,0.407457332636739,-1.7645353141565,-1.42066486138586
"3",0,21,-2.63866545276964,-1.45443434410704e-17,-4.0206860982315e-17,0.211157463069326,-1.5849359776644,0.0951611379611562,0.0951611379611562,0.0282971515601347,0.407657630634589,-1.75826653858174,-1.41561293197308
"4",0,21.5,-2.59207689565967,-1.45443434410704e-17,-4.0206860982315e-17,0.211550357138137,-1.57933184980056,0.0950533818102361,0.0950533818102361,0.0289517730409694,0.407926026794271,-1.75211337772465,-1.41059110542338
"5",0,22,-2.5454883385497,-1.45443434410704e-17,-4.0206860982315e-17,0.211977048222101,-1.57380338410142,0.0949547652806891,0.0949547652806891,0.029621251816563,0.408242958977269,-1.74607348381247,-1.40560225264971
"6",0,22.5,-2.49889978143972,-1.45443434410704e-17,-4.0206860982315e-17,0.212437536990026,-1.56835052306161,0.0948646822728123,0.0948646822728123,0.0303046323023844,0.408612541501764,-1.74014448218344,-1.40064918801349
"7",0,23,-2.45231122432975,-1.45443434410704e-17,-4.0206860982315e-17,0.212931823728782,-1.56297320958743,0.0947825302615007,0.0947825302615007,0.0310057376743261,0.409027266024589,-1.73432399168287,-1.39573466650498
"8",0,23.5,-2.40572266721978,-1.45443434410704e-17,-4.0206860982315e-17,0.213459908680684,-1.55767138728449,0.0947077316404018,0.0947077316404018,0.0317257107762836,0.40948637863169,-1.72860964202304,-1.3908613777426
"9",0,24,-2.35913411010981,-1.45443434410704e-17,-4.0206860982315e-17,0.214021791953551,-1.55244500074556,0.0946397270305959,0.0946397270305959,0.0324656610823486,0.409989119750737,-1.72299908864768,-1.38603194044336
"10",0,24.5,-2.31254555299984,-1.45443434410704e-17,-4.0206860982315e-17,0.214617473542363,-1.54729399652099,0.0945779757946831,0.0945779757946831,0.0332266631849482,0.410534731247237,-1.71749002623199,-1.38124890082528
"11",0,25,-2.26595699588987,-1.45443434410704e-17,-4.0206860982315e-17,0.215246953347552,-1.54221832243629,0.0945219564997522,0.0945219564997522,0.0340097554189378,0.411122462346893,-1.71208019753895,-1.37651472497274
"12",0,25.5,-2.21936843877989,-1.45443434410704e-17,-4.0206860982315e-17,0.215910231191439,-1.53721792663188,0.0944711673304055,0.0944711673304055,0.0348159386091914,0.411751574592241,-1.70676740427541,-1.37183178278429
"13",0,26,-2.17277988166992,-1.45443434410704e-17,-4.0206860982315e-17,0.21660730683232,-1.53229276044247,0.094425126455089,0.094425126455089,0.0356461749429903,0.412421345979481,-1.70154951516925,-1.36720236301232
"14",0,26.5,-2.12619132455995,-1.45443434410704e-17,-4.0206860982315e-17,0.217338179977411,-1.52744277752182,0.094383372349492,0.094383372349492,0.0365013869543239,0.413131074423981,-1.69642447250367,-1.3626286624545
"15",0,27,-2.07960276744998,-1.45443434410704e-17,-4.0206860982315e-17,0.218102850295189,-1.52266793404558,0.0943454640805479,0.0943454640805479,0.0373824566197885,0.413880080656615,-1.69139029794419,-1.35811278293872
"16",0,27.5,-2.03301421034001,-1.45443434410704e-17,-4.0206860982315e-17,0.218901317425586,-1.51796818874714,0.0943109815536137,0.0943109815536137,0.0382902245562421,0.414667710652322,-1.68644517597635,-1.3536564284612
"17",0,28,-1.98642565323004,-1.45443434410704e-17,-4.0206860982315e-17,0.219733580988772,-1.51334350278803,0.0942795257267037,0.0942795257267037,0.0392254893195959,0.415493337660065,-1.68158763443388,-1.3492604679969
"18",0,28.5,-1.93983709612007,-1.45443434410704e-17,-4.0206860982315e-17,0.220599640593338,-1.50879384142779,0.0942507187943594,0.0942507187943594,0.0401890067971719,0.41635636390343,-1.67681556528611,-1.34492834621626
"19",0,29,-1.89324853901009,-1.45443434410704e-17,-4.0206860982315e-17,0.221499495843171,-1.50431917227206,0.0942242043446099,0.0942242043446099,0.0411814896859276,0.41725622200809,-1.67212734524846,-1.34066173858438
"20",0,29.5,-1.84665998190012,-1.45443434410704e-17,-4.0206860982315e-17,0.222433146946093,-1.49991946573029,0.094199648025624,0.094199648025624,0.0422036071749746,0.418192381144407,-1.66752144922129,-1.3364622185502
"21",0,30,-1.80007142479015,-1.45443434410704e-17,-4.0206860982315e-17,0.223400594327366,-1.49559469520345,0.0941767373115109,0.0941767373115109,0.0432559845060661,0.419164344864595,-1.66299645380028,-1.33233125597417
"22",0,30.5,-1.75348286768018,-1.45443434410704e-17,-4.0206860982315e-17,0.224401836120682,-1.49134483696283,0.0941551793680314,0.0941551793680314,0.0443392021946923,0.420171631209514,-1.65855103819243,-1.32827021569967
"23",0,31,-1.70689431057021,-1.45443434410704e-17,-4.0206860982315e-17,0.225436871972101,-1.48716987005585,0.0941347044946257,0.0941347044946257,0.0454537965506277,0.421213804624394,-1.65418398532953,-1.32428035628261
"24",0,31.5,-1.66030575346024,-1.45443434410704e-17,-4.0206860982315e-17,0.226505701545396,-1.48306977619799,0.094115064861861,0.094115064861861,0.0466002592181236,0.422290464269207,-1.64989418284357,-1.32036282884861
