gridcell,marram_san,mean_diff,sd_diff,n,mean_15,mean_19,X,Y,dist_HW,ID_sectie,join_ID,join_KRIBV,join_KD,join_KD_nr,join_Opp_m,distance
22310199230.000000000000000,0.950800000000000,0.623463888888889,0.357104931133676,"360",8.656758333333331,9.280222222222219,"22310","199230",69.064135381171639,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22310199250.000000000000000,1.000000000000000,0.456855955678670,0.309913520687157,"361",5.939606648199450,6.396462603878120,"22310","199250",51.068009114162983,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22310199270.000000000000000,1.000000000000000,0.084686980609418,0.037678229376040,"361",5.092916897506930,5.177603878116340,"22310","199270",33.080652031830212,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22310199290.000000000000000,1.000000000000000,0.013692520775623,0.017407762461207,"361",4.593955678670360,4.607648199445980,"22310","199290",15.093294949472854,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22330199070.000000000000000,0.833333333333333,,,"0",,,"22330","199070",227.874349710493931,,1,"1",Natuurreservaat Westhoek,"1",163791.929999999993015,77.705294259083942
22330199090.000000000000000,0.505917159763313,,,"0",,,"22330","199090",208.471499706010547,,1,"1",Natuurreservaat Westhoek,"1",163791.929999999993015,59.740926118119475
22330199110.000000000000000,0.381294964028777,,,"0",,,"22330","199110",189.100083034453206,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,41.667488875890783
22330199130.000000000000000,0.196872493985565,0.109186440677966,0.185794204189205,"118",9.780491525423733,9.889677966101701,"22330","199130",169.868620893126348,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,23.517591205856093
22330199150.000000000000000,0.311200000000000,0.127712209302326,0.267290227324332,"344",10.669619186046500,10.797331395348801,"22330","199150",150.837181505848520,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,5.367693535821396
22330199170.000000000000000,0.333200000000000,0.180210365853659,0.233351557729249,"328",10.944795731707300,11.125006097561000,"22330","199170",132.092249148554885,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22330199190.000000000000000,0.192400000000000,-0.007338323353293,0.267295984728232,"334",9.137976047904187,9.130637724550899,"22330","199190",113.775521293552018,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22330199210.000000000000000,0.668000000000000,0.100209497206704,0.142123937783411,"358",9.595910614525140,9.696120111731840,"22330","199210",95.786577417181945,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22330199250.000000000000000,1.000000000000000,1.003975069252080,0.517203996868481,"361",7.194656509695290,8.198631578947371,"22330","199250",59.811863252465649,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22330199270.000000000000000,1.000000000000000,0.225814404432133,0.179440291563462,"361",5.415545706371190,5.641360110803320,"22330","199270",41.824506170132871,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22330199290.000000000000000,0.998074145402022,0.056540166204986,0.034415583824371,"361",4.797005540166210,4.853545706371190,"22330","199290",23.837149087775511,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22330199310.000000000000000,0.875000000000000,0.071332409972299,0.049743567724976,"361",4.432803324099720,4.504135734072020,"22330","199310",5.849792005416565,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22350199030.000000000000000,0.964757709251101,,,"0",,,"22350","199030",271.552650387206825,,1,"1",Natuurreservaat Westhoek,"1",163791.929999999993015,122.425018955059443
22350199050.000000000000000,0.954721862871928,,,"0",,,"22350","199050",252.264442386976498,,1,"1",Natuurreservaat Westhoek,"1",163791.929999999993015,104.460650814094961
22350199070.000000000000000,0.853521126760564,,,"0",,,"22350","199070",233.096237321214147,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,86.368546892919468
22350199090.000000000000000,0.525200000000000,,,"0",,,"22350","199090",214.080271893052753,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,68.218649222884764
22350199110.000000000000000,0.190000000000000,,,"0",,,"22350","199110",195.261029840311494,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,50.068751552850074
22350199130.000000000000000,0.055600000000000,0.055999999999999,0.132936074863070,"2",10.509000000000000,10.565000000000000,"22350","199130",176.701377286071562,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,31.918853882815384
22350199150.000000000000000,0.000400000000000,-0.134020979020979,0.219548227320878,"286",9.730762237762240,9.596741258741259,"22350","199150",158.492535140587023,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,13.768956212780688
22350199170.000000000000000,0.036000000000000,0.046009230769231,0.209220252633584,"325",10.658815384615400,10.704824615384601,"22350","199170",140.505145720200915,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22350199230.000000000000000,0.336800000000000,0.122947222222222,0.139531208729562,"360",8.746497222222221,8.869444444444440,"22350","199230",86.543074473125671,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22350199250.000000000000000,0.999600000000000,0.461019390581717,0.324376593827238,"361",8.829891966759000,9.290911357340720,"22350","199250",68.555717390768308,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22350199270.000000000000000,1.000000000000000,0.639927977839335,0.362000622035315,"361",5.938127423822710,6.578055401662050,"22350","199270",50.568360308435530,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22350199290.000000000000000,1.000000000000000,0.125761772853186,0.041452097938644,"361",5.037313019390580,5.163074792243770,"22350","199290",32.581003226076582,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22350199310.000000000000000,0.994126284875184,0.071240997229917,0.035995062672269,"361",4.552759002770080,4.624000000000000,"22350","199310",14.593646143719219,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22370198990.000000000000000,0.647359454855196,,,"0",,,"22370","198990",315.461338965628670,,1,"1",Natuurreservaat Westhoek,"1",163791.929999999993015,167.144743651034929
22370199010.000000000000000,0.845682792406614,,,"0",,,"22370","199010",296.331509196175261,,1,"1",Natuurreservaat Westhoek,"1",163791.929999999993015,149.180375510070462
22370199030.000000000000000,0.667759115116756,,,"0",,,"22370","199030",277.324485581382646,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,131.069604909948140
22370199050.000000000000000,0.829600000000000,,,"0",,,"22370","199050",258.467362085571835,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,112.919707239913450
22370199070.000000000000000,0.427600000000000,,,"0",,,"22370","199070",239.795505012019987,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,94.769809569878760
22370199090.000000000000000,0.026400000000000,,,"0",,,"22370","199090",221.355802238083044,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,76.619911899844070
22370199230.000000000000000,0.032400000000000,0.140411594202899,0.187080084468440,"345",11.029982608695700,11.170394202898599,"22370","199230",95.286928611428308,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22370199250.000000000000000,0.730000000000000,0.173066481994460,0.206841447627781,"361",8.512202216066481,8.685268698060939,"22370","199250",77.299571529095559,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22370199270.000000000000000,0.996000000000000,1.008537396121880,0.338189426477202,"361",7.306576177285320,8.315113573407199,"22370","199270",59.312214446738189,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22370199290.000000000000000,1.000000000000000,0.225930747922438,0.105637183961295,"361",5.362022160664820,5.587952908587260,"22370","199290",41.324857364379234,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22370199310.000000000000000,0.994369369369369,0.101578947368421,0.028499805067559,"361",4.745747922437670,4.847326869806100,"22370","199310",23.337500282020287,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22390198970.000000000000000,0.011722731906218,,,"0",,,"22390","198970",340.569196775271507,,1,"1",Natuurreservaat Westhoek,"1",163791.929999999993015,193.900100206045948
22390198990.000000000000000,0.154000000000000,,,"0",,,"22390","198990",321.689111958501314,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,175.770662926976826
22390199010.000000000000000,0.528800000000000,,,"0",,,"22390","199010",302.952787927665099,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,157.620765256942121
22390199030.000000000000000,0.648400000000000,,,"0",,,"22390","199030",284.388640197952384,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,139.470867586907417
22390199050.000000000000000,0.906800000000000,,,"0",,,"22390","199050",266.032715345568022,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,121.320969916872741
22390199070.000000000000000,0.142000000000000,,,"0",,,"22390","199070",247.929639408571603,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,103.171072246838051
22390199130.000000000000000,0.113600000000000,,,"0",,,"22390","199130",193.967568161496359,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,48.721379236733966
22390199150.000000000000000,0.000800000000000,0.268285714285715,0.259235873472862,"7",11.891714285714301,12.160000000000000,"22390","199150",175.980211079163581,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,30.571481566699269
22390199190.000000000000000,0.000400000000000,0.125295238095238,0.390305194739894,"315",12.158726984127000,12.284022222222200,"22390","199190",140.005496914447292,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22390199230.000000000000000,0.010000000000000,0.078293768545994,0.153016085336698,"337",11.774436201780400,11.852729970326401,"22390","199230",104.030782749730960,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22390199250.000000000000000,0.259600000000000,0.107457063711911,0.118972027343587,"361",9.056955678670359,9.164412742382270,"22390","199250",86.043425667398196,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22390199270.000000000000000,0.978000000000000,0.607144044321330,0.244533856493075,"361",9.062274238227150,9.669418282548479,"22390","199270",68.056068585039256,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22390199290.000000000000000,1.000000000000000,0.441667590027701,0.310245440967503,"361",5.905132963988920,6.346800554016620,"22390","199290",50.068711502681893,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22390199310.000000000000000,0.999597747385358,0.139293628808864,0.032791550205056,"361",4.994423822714680,5.133717451523550,"22390","199310",32.081354420322945,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22390199330.000000000000000,0.984455958549223,0.119249307479224,0.024855446660355,"361",4.510362880886430,4.629612188365650,"22390","199330",14.093997337991762,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22410198910.000000000000000,0.001926782273603,,,"0",,,"22410","198910",403.814171719280694,,1,"1",Natuurreservaat Westhoek,"1",163791.929999999993015,256.584193042985930
22410198930.000000000000000,0.018122676579926,,,"0",,,"22410","198930",384.918682635468201,,1,"1",Natuurreservaat Westhoek,"1",163791.929999999993015,238.619824902021463
22410198950.000000000000000,0.069200000000000,,,"0",,,"22410","198950",366.140545695665764,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,220.471720944005483
22410198970.000000000000000,0.128400000000000,,,"0",,,"22410","198970",347.498785843656606,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,202.321823273970836
22410198990.000000000000000,0.318000000000000,,,"0",,,"22410","198990",329.016584875764465,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,184.171925603936131
22410199010.000000000000000,0.457200000000000,,,"0",,,"22410","199010",310.722416448840590,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,166.022027933901427
22410199030.000000000000000,0.297200000000000,,,"0",,,"22410","199030",292.648207711564396,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,147.872130263866723
22410199050.000000000000000,0.838800000000000,,,"0",,,"22410","199050",274.660850629205470,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,129.722232593832018
22410199070.000000000000000,0.092800000000000,,,"0",,,"22410","199070",256.673493546874283,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,111.572334923797328
22410199130.000000000000000,0.040800000000000,,,"0",,,"22410","199130",202.711422299799011,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,57.122641913693258
22410199150.000000000000000,0.011600000000000,,,"0",,,"22410","199150",184.724065217466233,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,38.972744243658560
22410199190.000000000000000,0.098000000000000,0.088630225080386,0.177308319728060,"311",12.989816720257201,13.078446945337600,"22410","199190",148.749351052749944,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,2.672948903589170
22410199210.000000000000000,0.111200000000000,0.024278931750742,0.196504087716596,"337",12.315477744807099,12.339756676557901,"22410","199210",130.761993970390989,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22410199230.000000000000000,0.147600000000000,0.058682857142857,0.140095483169233,"350",11.258034285714301,11.316717142857099,"22410","199230",112.774636888033641,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22410199250.000000000000000,0.063200000000000,0.109477341389728,0.204115687488666,"331",10.986326283987900,11.095803625377600,"22410","199250",94.787279805700862,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22410199270.000000000000000,0.751200000000000,0.385005540166205,0.212535722415209,"361",9.004767313019389,9.389772853185599,"22410","199270",76.799922723341908,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22410199290.000000000000000,1.000000000000000,0.588011080332410,0.317017147957500,"361",7.167144044321330,7.755155124653740,"22410","199290",58.812565640984552,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22410199310.000000000000000,1.000000000000000,0.172916897506925,0.053913446759217,"361",5.316947368421050,5.489864265927980,"22410","199310",40.825208558625597,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22410199330.000000000000000,0.991820040899795,0.140210526315789,0.024426647561856,"361",4.698041551246540,4.838252077562330,"22410","199330",22.837851476292830,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22430198910.000000000000000,0.073600000000000,,,"0",,,"22430","198910",410.650598017329855,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,265.172778961034169
22430198930.000000000000000,0.083600000000000,,,"0",,,"22430","198930",392.084711015982066,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,247.022881290999493
22430198950.000000000000000,0.270000000000000,,,"0",,,"22430","198950",373.666867106225823,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,228.872983620964789
22430198990.000000000000000,0.001600000000000,,,"0",,,"22430","198990",337.366776014583365,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,192.573188280895408
22430199010.000000000000000,0.318800000000000,,,"0",,,"22430","199010",319.379418932224382,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,174.423290610860732
22430199030.000000000000000,0.161600000000000,,,"0",,,"22430","199030",301.392061849867048,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,156.273392940826028
22430199050.000000000000000,0.672800000000000,,,"0",,,"22430","199050",283.404704767534270,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,138.123495270791324
22430199070.000000000000000,0.334000000000000,,,"0",,,"22430","199070",265.417347685175343,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,119.973597600756634
22430199130.000000000000000,0.007200000000000,,,"0",,,"22430","199130",211.455276438100100,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,65.523904590652549
22430199150.000000000000000,0.013600000000000,,,"0",,,"22430","199150",193.467919355768885,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,47.374006920617852
22430199230.000000000000000,0.159200000000000,0.052779661016949,0.135630568198740,"354",11.245341807909600,11.298121468926601,"22430","199230",121.518491026360877,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22430199250.000000000000000,0.082800000000000,0.054844311377245,0.193803047793137,"334",11.238685628742500,11.293529940119800,"22430","199250",103.531133944003514,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22430199270.000000000000000,0.682800000000000,0.130795013850416,0.132571226464042,"361",9.145490304709140,9.276285318559561,"22430","199270",85.543776861644574,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22430199290.000000000000000,0.999200000000000,0.537443213296399,0.314992050542869,"361",9.070972299168981,9.608415512465372,"22430","199290",67.556419779285619,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22430199310.000000000000000,1.000000000000000,0.333182825484765,0.292606608936137,"361",5.857324099722990,6.190506925207760,"22430","199310",49.569062696928256,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22430199330.000000000000000,0.998328458002507,0.157052631578947,0.025953484030730,"361",4.939808864265930,5.096861495844880,"22430","199330",31.581705614595489,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22430199350.000000000000000,0.982352941176470,0.130423822714681,0.050029828744811,"361",4.453983379501390,4.584407202216070,"22430","199350",13.594348532238127,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22450198910.000000000000000,0.002000000000000,,,"0",,,"22450","198910",418.332334421632481,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,273.574041637993503
22450198990.000000000000000,0.051200000000000,,,"0",,,"22450","198990",346.110630152886017,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,200.974450957854685
22450199010.000000000000000,0.081200000000000,,,"0",,,"22450","199010",328.123273070527091,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,182.824553287820009
22450199050.000000000000000,0.153600000000000,,,"0",,,"22450","199050",292.148558905836921,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,146.524757947750629
22450199070.000000000000000,0.062800000000000,,,"0",,,"22450","199070",274.161201823477995,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,128.374860277715925
22450199150.000000000000000,0.029600000000000,,,"0",,,"22450","199150",202.211773494071565,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,55.775269597577143
22450199170.000000000000000,0.077600000000000,,,"0",,,"22450","199170",184.224416411712610,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,37.625371927542453
22450199210.000000000000000,0.032000000000000,0.000685245901639,0.191606571483203,"305",11.636039344262301,11.636724590163899,"22450","199210",148.249702246996321,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,1.325576587473058
22450199230.000000000000000,0.277600000000000,0.045030812324930,0.152694880647727,"357",12.822464985994401,12.867495798319300,"22450","199230",130.262345164663543,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22450199250.000000000000000,0.236800000000000,0.067014326647565,0.133919998081360,"349",10.817899713467000,10.884914040114600,"22450","199250",112.274988082304603,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22450199270.000000000000000,0.762400000000000,0.121686980609418,0.242110785183657,"361",10.405520775623300,10.527207756232700,"22450","199270",94.287630999947226,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22450199290.000000000000000,0.787600000000000,0.329745152354571,0.270976631598129,"361",8.921163434903050,9.250908587257619,"22450","199290",76.300273917588271,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22450199310.000000000000000,1.000000000000000,0.771952908587258,0.398962126437829,"361",6.918567867036010,7.690520775623270,"22450","199310",58.312916835257091,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22450199330.000000000000000,1.000000000000000,0.159060941828255,0.043505384701200,"361",5.249332409972300,5.408393351800550,"22450","199330",40.325559752898144,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22450199350.000000000000000,0.998271391529818,0.128601108033241,0.021486465995856,"361",4.636878116343490,4.765479224376730,"22450","199350",22.338202670539197,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22470199050.000000000000000,0.168400000000000,,,"0",,,"22470","199050",300.892413044137982,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,154.926020624709906
22470199070.000000000000000,0.007600000000000,,,"0",,,"22470","199070",282.905055961780647,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,136.776122954675202
22470199110.000000000000000,0.069600000000000,,,"0",,,"22470","199110",246.930341797064358,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,100.476327614605822
22470199170.000000000000000,0.172800000000000,,,"0",,,"22470","199170",192.968270550015291,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,46.026634604501737
22470199190.000000000000000,0.064400000000000,-0.002631578947368,0.200415737496478,"19",10.580736842105299,10.578105263157900,"22470","199190",174.980913467656336,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,27.876736934467043
